state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,2/19/11,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,1/20/11,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,2/3/11,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,1/25/11,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Post-Uni,1/18/11,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,2/17/11,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,2/21/11,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize
California,No,Premium,Post-Uni,2/6/11,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize
California,No,Basic,College,1/18/11,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,2/6/11,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,2/27/11,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,2/19/11,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,1/21/11,Disabled,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize
